/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=5615, episodic_return=[115.50449]
global_step=5633, episodic_return=[90.20962]
global_step=5649, episodic_return=[78.4688]
global_step=5666, episodic_return=[83.35926]
global_step=5691, episodic_return=[128.01347]
SPS: 361
global_step=5708, episodic_return=[83.30679]
global_step=5726, episodic_return=[91.07504]
global_step=5742, episodic_return=[78.237206]
global_step=5763, episodic_return=[105.73109]
global_step=5781, episodic_return=[89.64818]
SPS: 334
global_step=5801, episodic_return=[99.61654]
global_step=5818, episodic_return=[83.58187]
global_step=5836, episodic_return=[88.00666]
global_step=5853, episodic_return=[83.444664]
global_step=5869, episodic_return=[78.72185]
global_step=5885, episodic_return=[78.38103]
SPS: 313
global_step=5903, episodic_return=[89.930336]
global_step=5926, episodic_return=[117.77991]
global_step=5950, episodic_return=[121.48021]
global_step=5966, episodic_return=[78.35374]
global_step=5984, episodic_return=[90.67538]
global_step=6000, episodic_return=[78.66664]
SPS: 294
global_step=6018, episodic_return=[89.908325]
global_step=6038, episodic_return=[101.13635]
global_step=6055, episodic_return=[83.41369]
global_step=6072, episodic_return=[83.56345]
global_step=6089, episodic_return=[82.95509]
SPS: 279
global_step=6106, episodic_return=[83.39583]
global_step=6123, episodic_return=[83.35133]
global_step=6140, episodic_return=[83.53226]
global_step=6157, episodic_return=[83.25442]
global_step=6173, episodic_return=[78.39896]
SPS: 264
global_step=6201, episodic_return=[135.12587]
global_step=6217, episodic_return=[78.55729]
global_step=6234, episodic_return=[83.67257]
global_step=6251, episodic_return=[83.50254]
global_step=6270, episodic_return=[94.21117]
global_step=6287, episodic_return=[83.14833]
SPS: 251
global_step=6304, episodic_return=[83.04828]
global_step=6320, episodic_return=[78.40137]
global_step=6339, episodic_return=[96.01613]
global_step=6356, episodic_return=[83.47348]
global_step=6373, episodic_return=[83.30495]
global_step=6390, episodic_return=[83.316185]
SPS: 239
global_step=6407, episodic_return=[83.379456]
global_step=6424, episodic_return=[83.390144]
global_step=6441, episodic_return=[83.35831]
global_step=6457, episodic_return=[78.41296]
global_step=6474, episodic_return=[83.28301]
global_step=6491, episodic_return=[83.53665]
SPS: 228
global_step=6508, episodic_return=[83.5691]
global_step=6526, episodic_return=[89.99278]
global_step=6542, episodic_return=[78.57177]
global_step=6558, episodic_return=[78.42149]
global_step=6575, episodic_return=[83.475044]
global_step=6592, episodic_return=[83.35925]
SPS: 219
global_step=6609, episodic_return=[83.22667]
global_step=6626, episodic_return=[83.00226]
global_step=6642, episodic_return=[78.49283]
global_step=6658, episodic_return=[78.47246]
global_step=6674, episodic_return=[78.42552]
global_step=6691, episodic_return=[83.3511]
SPS: 211
global_step=6708, episodic_return=[83.55173]
global_step=6725, episodic_return=[83.59748]
global_step=6741, episodic_return=[78.510185]
global_step=6758, episodic_return=[83.17114]
global_step=6775, episodic_return=[83.541176]
global_step=6791, episodic_return=[78.45677]
SPS: 203
global_step=6808, episodic_return=[83.10938]
global_step=6825, episodic_return=[83.36713]
global_step=6841, episodic_return=[78.36847]
