True
global_step=5765, episodic_return=[105.75702]
global_step=5798, episodic_return=[165.88162]
global_step=5841, episodic_return=[218.25708]
global_step=5866, episodic_return=[127.34216]
global_step=5893, episodic_return=[136.68558]
global_step=5917, episodic_return=[120.65575]
global_step=5941, episodic_return=[120.73668]
global_step=5969, episodic_return=[144.28004]
global_step=5989, episodic_return=[99.92631]
global_step=6012, episodic_return=[118.22775]
global_step=6040, episodic_return=[139.16678]
global_step=6072, episodic_return=[164.62564]
global_step=6109, episodic_return=[186.73473]
global_step=6128, episodic_return=[94.478584]
global_step=6146, episodic_return=[89.6277]
global_step=6167, episodic_return=[103.33687]
global_step=6191, episodic_return=[121.256256]
global_step=6210, episodic_return=[95.68445]
global_step=6235, episodic_return=[127.57039]
global_step=6273, episodic_return=[181.29535]
global_step=6290, episodic_return=[83.44313]
global_step=6311, episodic_return=[105.780525]
global_step=6352, episodic_return=[200.85364]
global_step=6370, episodic_return=[88.97852]
global_step=6401, episodic_return=[151.63882]
global_step=6421, episodic_return=[101.24996]
global_step=6448, episodic_return=[137.39108]
global_step=6473, episodic_return=[129.14528]
global_step=6491, episodic_return=[88.77528]
global_step=6510, episodic_return=[94.74563]
global_step=6547, episodic_return=[171.34213]
global_step=6566, episodic_return=[94.89953]
global_step=6597, episodic_return=[151.73254]
global_step=6619, episodic_return=[111.89097]
global_step=6638, episodic_return=[94.329185]
global_step=6684, episodic_return=[223.66267]
global_step=6716, episodic_return=[166.81999]
global_step=6735, episodic_return=[95.19426]
global_step=6760, episodic_return=[126.637115]
global_step=6783, episodic_return=[118.97729]
global_step=6801, episodic_return=[87.99818]
global_step=6820, episodic_return=[94.385124]
global_step=6849, episodic_return=[138.1919]
global_step=6879, episodic_return=[151.47038]
global_step=6899, episodic_return=[100.54649]
global_step=6942, episodic_return=[205.17804]
global_step=6974, episodic_return=[154.87053]
global_step=7016, episodic_return=[217.33307]
global_step=7038, episodic_return=[109.40527]
global_step=7061, episodic_return=[117.025826]
global_step=7082, episodic_return=[106.14785]
global_step=7122, episodic_return=[194.3065]
global_step=7161, episodic_return=[204.03134]
global_step=7184, episodic_return=[113.497]
global_step=7216, episodic_return=[162.37337]
global_step=7235, episodic_return=[94.45445]
global_step=7259, episodic_return=[116.94441]
global_step=7285, episodic_return=[133.78917]
global_step=7317, episodic_return=[163.63931]
global_step=7356, episodic_return=[194.8934]
global_step=7380, episodic_return=[122.973526]
global_step=7403, episodic_return=[107.89996]
global_step=7440, episodic_return=[182.20837]
global_step=7468, episodic_return=[137.59341]
global_step=7506, episodic_return=[195.76682]
global_step=7535, episodic_return=[151.46867]
global_step=7558, episodic_return=[114.91542]
global_step=7594, episodic_return=[178.62518]
global_step=7632, episodic_return=[180.15216]
global_step=7664, episodic_return=[161.3809]
global_step=7696, episodic_return=[165.86046]
global_step=7750, episodic_return=[281.04007]
global_step=7777, episodic_return=[134.99803]
global_step=7814, episodic_return=[175.86288]
global_step=7860, episodic_return=[219.4402]
global_step=7919, episodic_return=[318.3271]
global_step=7990, episodic_return=[380.73126]
global_step=8046, episodic_return=[287.77185]
global_step=8099, episodic_return=[281.66373]
global_step=8157, episodic_return=[294.42636]
global_step=8218, episodic_return=[322.97842]
global_step=8260, episodic_return=[212.65466]
global_step=8343, episodic_return=[403.84146]
global_step=8430, episodic_return=[433.28333]
global_step=8492, episodic_return=[323.75415]
global_step=8579, episodic_return=[468.0561]
global_step=8642, episodic_return=[309.19635]
global_step=8701, episodic_return=[322.55655]
global_step=8766, episodic_return=[296.21292]
global_step=8837, episodic_return=[392.34793]
global_step=8889, episodic_return=[279.1904]
global_step=8989, episodic_return=[526.24176]
global_step=9060, episodic_return=[361.37634]
global_step=9134, episodic_return=[398.27054]
global_step=9216, episodic_return=[382.5584]
global_step=9283, episodic_return=[353.01865]
global_step=9357, episodic_return=[339.05753]
global_step=9413, episodic_return=[300.29517]
global_step=9488, episodic_return=[388.3608]
global_step=9585, episodic_return=[498.68698]
global_step=9672, episodic_return=[448.65054]
global_step=9758, episodic_return=[443.6598]
global_step=9834, episodic_return=[344.35056]
global_step=9895, episodic_return=[332.62857]
global_step=9980, episodic_return=[444.1056]
global_step=10042, episodic_return=[331.10446]
global_step=10115, episodic_return=[331.72336]
global_step=10179, episodic_return=[336.23343]
global_step=10263, episodic_return=[433.2205]
global_step=10341, episodic_return=[409.79272]
global_step=10395, episodic_return=[283.89792]
global_step=10472, episodic_return=[421.31537]
global_step=10571, episodic_return=[502.17188]
global_step=10648, episodic_return=[364.82977]
global_step=10723, episodic_return=[410.3553]
global_step=10782, episodic_return=[315.39563]
global_step=10848, episodic_return=[355.64667]
