
True
global_step=6118, episodic_return=[125.7487]
global_step=6144, episodic_return=[135.33302]
global_step=6167, episodic_return=[118.800156]
global_step=6196, episodic_return=[142.84647]
global_step=6213, episodic_return=[83.581474]
global_step=6240, episodic_return=[136.39822]
global_step=6258, episodic_return=[88.80137]
global_step=6278, episodic_return=[99.496056]
global_step=6310, episodic_return=[152.63922]
global_step=6327, episodic_return=[83.230225]
global_step=6345, episodic_return=[89.179535]
global_step=6365, episodic_return=[99.997955]
global_step=6400, episodic_return=[168.33522]
global_step=6437, episodic_return=[190.22116]
global_step=6461, episodic_return=[124.08345]
global_step=6494, episodic_return=[168.39465]
global_step=6520, episodic_return=[128.99324]
global_step=6539, episodic_return=[94.26256]
global_step=6558, episodic_return=[94.32239]
global_step=6586, episodic_return=[147.07169]
global_step=6604, episodic_return=[89.390175]
global_step=6624, episodic_return=[100.64302]
global_step=6649, episodic_return=[128.43622]
global_step=6689, episodic_return=[208.80234]
global_step=6722, episodic_return=[169.53584]
global_step=6772, episodic_return=[246.00366]
global_step=6815, episodic_return=[221.05383]
global_step=6840, episodic_return=[122.8016]
global_step=6879, episodic_return=[192.51758]
global_step=6919, episodic_return=[209.44635]
global_step=6939, episodic_return=[100.24339]
global_step=6958, episodic_return=[93.429474]
global_step=6997, episodic_return=[199.00938]
global_step=7026, episodic_return=[149.68344]
global_step=7047, episodic_return=[105.88216]
global_step=7072, episodic_return=[130.06657]
global_step=7096, episodic_return=[122.24453]
global_step=7119, episodic_return=[119.91162]
global_step=7146, episodic_return=[134.2239]
global_step=7168, episodic_return=[112.55015]
global_step=7189, episodic_return=[106.149734]
global_step=7211, episodic_return=[110.97253]
global_step=7252, episodic_return=[204.07828]
global_step=7306, episodic_return=[294.15384]
global_step=7337, episodic_return=[164.25949]
global_step=7377, episodic_return=[210.6934]
global_step=7400, episodic_return=[118.197754]
global_step=7425, episodic_return=[126.65468]
global_step=7460, episodic_return=[182.67561]
global_step=7488, episodic_return=[137.88713]
global_step=7539, episodic_return=[236.13364]
global_step=7569, episodic_return=[152.35536]
global_step=7614, episodic_return=[251.74574]
global_step=7667, episodic_return=[293.62674]
global_step=7767, episodic_return=[513.3661]
global_step=7802, episodic_return=[182.33641]
global_step=7874, episodic_return=[369.35693]
global_step=7923, episodic_return=[277.6891]
global_step=7992, episodic_return=[352.70505]
global_step=8043, episodic_return=[265.83865]
global_step=8115, episodic_return=[330.77963]
global_step=8183, episodic_return=[349.69025]
global_step=8275, episodic_return=[491.29077]
global_step=8348, episodic_return=[375.32782]
global_step=8415, episodic_return=[361.4361]
global_step=8469, episodic_return=[293.21655]
global_step=8537, episodic_return=[357.65814]
global_step=8628, episodic_return=[413.97495]
global_step=8706, episodic_return=[417.89105]
global_step=8772, episodic_return=[327.97873]
global_step=8822, episodic_return=[262.68967]
global_step=8925, episodic_return=[486.95987]
global_step=8979, episodic_return=[269.3045]
global_step=9044, episodic_return=[339.45996]
global_step=9088, episodic_return=[215.01993]
global_step=9168, episodic_return=[394.1616]
global_step=9217, episodic_return=[250.30678]
global_step=9264, episodic_return=[229.2077]
global_step=9302, episodic_return=[176.6104]
global_step=9381, episodic_return=[374.75925]
global_step=9476, episodic_return=[426.61893]
global_step=9532, episodic_return=[277.2418]
global_step=9589, episodic_return=[293.21188]
global_step=9675, episodic_return=[389.7465]
global_step=9731, episodic_return=[265.31406]
global_step=9814, episodic_return=[375.26846]
global_step=9894, episodic_return=[356.9152]
global_step=9940, episodic_return=[223.54759]
global_step=10024, episodic_return=[422.70508]
global_step=10078, episodic_return=[277.71957]
global_step=10163, episodic_return=[372.38794]
global_step=10233, episodic_return=[373.30936]
global_step=10321, episodic_return=[409.31396]
global_step=10385, episodic_return=[302.7576]
global_step=10451, episodic_return=[343.59103]
global_step=10518, episodic_return=[315.05615]
global_step=10621, episodic_return=[532.7937]
global_step=10665, episodic_return=[208.40865]
global_step=10789, episodic_return=[592.13367]
global_step=10816, episodic_return=[127.43297]
global_step=10863, episodic_return=[242.38889]
global_step=10905, episodic_return=[209.37239]
global_step=10973, episodic_return=[365.54556]
global_step=11044, episodic_return=[325.14838]
global_step=11152, episodic_return=[510.55444]
global_step=11213, episodic_return=[299.7092]
global_step=11311, episodic_return=[509.94714]
global_step=11375, episodic_return=[350.7851]
global_step=11460, episodic_return=[418.0215]
global_step=11544, episodic_return=[381.7436]
