/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=10123, episodic_return=[209.0185]
SPS: 167
global_step=10214, episodic_return=[206.00043]
SPS: 166
global_step=10307, episodic_return=[210.64052]
global_step=10395, episodic_return=[196.15628]
SPS: 164
global_step=10488, episodic_return=[211.72115]
SPS: 163
global_step=10584, episodic_return=[218.48563]
SPS: 162
global_step=10676, episodic_return=[208.801]
SPS: 160
global_step=10768, episodic_return=[209.83032]
SPS: 159
global_step=10864, episodic_return=[216.17467]
SPS: 158
global_step=10958, episodic_return=[214.77657]
SPS: 157
global_step=11050, episodic_return=[207.06352]
SPS: 156
global_step=11146, episodic_return=[220.7527]
SPS: 155
global_step=11241, episodic_return=[214.6018]
SPS: 154
global_step=11338, episodic_return=[217.89151]
SPS: 153
global_step=11436, episodic_return=[221.81299]
SPS: 152
global_step=11528, episodic_return=[209.45172]
SPS: 151
global_step=11621, episodic_return=[212.66763]
SPS: 150
global_step=11713, episodic_return=[213.3292]
SPS: 150
global_step=11809, episodic_return=[222.87549]
global_step=11892, episodic_return=[189.64061]
SPS: 149
global_step=11979, episodic_return=[197.5481]
SPS: 148
global_step=12071, episodic_return=[210.27126]
SPS: 147
global_step=12168, episodic_return=[222.39241]
SPS: 146
global_step=12265, episodic_return=[220.5361]
SPS: 146
global_step=12363, episodic_return=[224.54959]
SPS: 145
global_step=12462, episodic_return=[221.64018]
SPS: 144
global_step=12562, episodic_return=[223.84999]
SPS: 144
global_step=12659, episodic_return=[220.2911]
SPS: 143
global_step=12760, episodic_return=[226.677]
SPS: 142
global_step=12861, episodic_return=[224.53767]
SPS: 141
global_step=12961, episodic_return=[222.04436]
SPS: 141
global_step=13073, episodic_return=[261.7705]
SPS: 140
global_step=13176, episodic_return=[230.47192]
SPS: 139
global_step=13285, episodic_return=[225.35577]
SPS: 139
global_step=13389, episodic_return=[230.78091]
SPS: 138
global_step=13488, episodic_return=[221.1609]
SPS: 138
global_step=13595, episodic_return=[240.09053]
SPS: 137
global_step=13700, episodic_return=[227.76147]
SPS: 137
SPS: 136
global_step=13829, episodic_return=[267.15015]
SPS: 136
global_step=13946, episodic_return=[275.9852]
SPS: 135
global_step=14054, episodic_return=[246.46869]
SPS: 135
global_step=14165, episodic_return=[258.0833]
SPS: 134
global_step=14283, episodic_return=[263.756]
SPS: 134
SPS: 133
global_step=14405, episodic_return=[275.14346]
SPS: 133
global_step=14529, episodic_return=[272.67038]
SPS: 132
global_step=14644, episodic_return=[252.41357]
SPS: 132
global_step=14759, episodic_return=[270.32657]
SPS: 132
global_step=14875, episodic_return=[246.3874]
SPS: 131
SPS: 131
global_step=15002, episodic_return=[261.51306]
SPS: 130
global_step=15129, episodic_return=[273.7593]
SPS: 130
global_step=15255, episodic_return=[261.0269]
SPS: 130
global_step=15393, episodic_return=[303.42743]
SPS: 129
SPS: 129
global_step=15517, episodic_return=[247.30844]
SPS: 128
global_step=15670, episodic_return=[336.8083]
SPS: 128
SPS: 128
global_step=15810, episodic_return=[315.4713]
SPS: 127
global_step=15959, episodic_return=[331.18]
SPS: 127
SPS: 127
global_step=16117, episodic_return=[370.17978]
SPS: 126
global_step=16267, episodic_return=[344.29355]
SPS: 126
SPS: 126
global_step=16416, episodic_return=[329.40802]
SPS: 125
global_step=16530, episodic_return=[229.54427]
SPS: 125
global_step=16684, episodic_return=[351.9227]
SPS: 125
SPS: 125
global_step=16837, episodic_return=[358.00095]
SPS: 124
global_step=16994, episodic_return=[349.22394]
SPS: 124
SPS: 124
global_step=17150, episodic_return=[359.09543]
SPS: 123
SPS: 123
