True
global_step=12732, episodic_return=[301.27832]
global_step=12870, episodic_return=[298.7115]
global_step=12998, episodic_return=[291.37936]
global_step=13129, episodic_return=[285.7677]
global_step=13254, episodic_return=[274.8236]
global_step=13395, episodic_return=[312.07455]
global_step=13532, episodic_return=[296.47446]
global_step=13665, episodic_return=[289.02945]
global_step=13804, episodic_return=[301.65057]
global_step=13937, episodic_return=[281.58624]
global_step=14075, episodic_return=[288.6921]
global_step=14220, episodic_return=[309.98608]
global_step=14360, episodic_return=[303.0546]
global_step=14523, episodic_return=[330.91718]
global_step=14653, episodic_return=[285.38535]
global_step=14847, episodic_return=[394.57574]
global_step=14999, episodic_return=[283.87122]
global_step=15140, episodic_return=[304.24503]
global_step=15291, episodic_return=[297.66068]
global_step=15433, episodic_return=[300.26266]
global_step=15561, episodic_return=[302.46402]
global_step=15685, episodic_return=[290.92596]
global_step=15816, episodic_return=[308.21762]
global_step=15955, episodic_return=[303.4148]
global_step=16097, episodic_return=[312.15506]
global_step=16228, episodic_return=[313.67972]
global_step=16359, episodic_return=[303.16766]
global_step=16488, episodic_return=[319.6135]
global_step=16613, episodic_return=[303.17517]
global_step=16741, episodic_return=[299.62933]
global_step=16857, episodic_return=[299.55618]
global_step=16979, episodic_return=[312.9695]
global_step=17103, episodic_return=[301.03485]
global_step=17231, episodic_return=[300.1587]
global_step=17347, episodic_return=[302.59406]
global_step=17492, episodic_return=[314.41574]
global_step=17608, episodic_return=[302.94928]
global_step=17722, episodic_return=[290.77]
global_step=17843, episodic_return=[314.55518]
global_step=17961, episodic_return=[281.4101]
global_step=18078, episodic_return=[298.07492]
global_step=18203, episodic_return=[299.55304]
global_step=18314, episodic_return=[270.06796]
global_step=18427, episodic_return=[288.25095]
global_step=18539, episodic_return=[277.0175]
global_step=18655, episodic_return=[293.31247]
global_step=18773, episodic_return=[307.58215]
global_step=18895, episodic_return=[303.09436]
global_step=19009, episodic_return=[269.9149]
global_step=19119, episodic_return=[282.18042]
global_step=19238, episodic_return=[311.19177]
global_step=19353, episodic_return=[293.36252]
global_step=19461, episodic_return=[272.13538]
global_step=19576, episodic_return=[281.67935]
global_step=19688, episodic_return=[278.6493]
global_step=19803, episodic_return=[293.2765]
global_step=19916, episodic_return=[273.4614]
global_step=20028, episodic_return=[255.1932]
global_step=20144, episodic_return=[285.17166]
global_step=20262, episodic_return=[259.27286]
global_step=20373, episodic_return=[264.23346]
global_step=20484, episodic_return=[265.29645]
global_step=20603, episodic_return=[286.44412]
global_step=20724, episodic_return=[295.75604]
global_step=20843, episodic_return=[291.20294]
global_step=20973, episodic_return=[285.34106]
global_step=21084, episodic_return=[242.1953]
global_step=21210, episodic_return=[299.66623]
global_step=21326, episodic_return=[270.43094]
global_step=21461, episodic_return=[325.82513]
global_step=21598, episodic_return=[294.7156]
global_step=21734, episodic_return=[290.64984]
global_step=21844, episodic_return=[268.2208]
global_step=21975, episodic_return=[310.40988]
global_step=22113, episodic_return=[300.44995]
global_step=22250, episodic_return=[300.44092]
global_step=22401, episodic_return=[340.63605]
global_step=22528, episodic_return=[291.95703]
global_step=22686, episodic_return=[322.8896]
global_step=22825, episodic_return=[278.5354]
global_step=22933, episodic_return=[248.2149]
global_step=23116, episodic_return=[355.1428]
global_step=23286, episodic_return=[345.58005]
global_step=23453, episodic_return=[358.58646]
global_step=23590, episodic_return=[304.39407]
global_step=23730, episodic_return=[281.0032]
global_step=23895, episodic_return=[364.69418]
global_step=24071, episodic_return=[351.30325]
global_step=24238, episodic_return=[338.03915]
global_step=24417, episodic_return=[359.76788]
global_step=24577, episodic_return=[327.63684]
global_step=24732, episodic_return=[314.36865]
global_step=24952, episodic_return=[436.88947]
global_step=25089, episodic_return=[311.67114]
global_step=25294, episodic_return=[429.72836]
global_step=25509, episodic_return=[495.22772]
global_step=25775, episodic_return=[557.5278]
global_step=25912, episodic_return=[274.45807]
global_step=26132, episodic_return=[498.65442]
global_step=26361, episodic_return=[491.79565]
global_step=26603, episodic_return=[446.3535]
global_step=26740, episodic_return=[292.10776]
global_step=26913, episodic_return=[383.52814]
global_step=27069, episodic_return=[314.63834]
global_step=27244, episodic_return=[371.45825]
global_step=27530, episodic_return=[613.1214]
global_step=27767, episodic_return=[499.03726]
global_step=27915, episodic_return=[300.79343]
global_step=28093, episodic_return=[382.0555]
global_step=28256, episodic_return=[333.4144]
global_step=28520, episodic_return=[428.6937]
global_step=28656, episodic_return=[272.7675]
global_step=28825, episodic_return=[334.85147]
global_step=28967, episodic_return=[288.27115]
global_step=29107, episodic_return=[287.91092]
global_step=29322, episodic_return=[415.6264]
global_step=29963, episodic_return=[1015.1039]
global_step=30086, episodic_return=[135.85982]
global_step=30316, episodic_return=[290.85968]
global_step=30443, episodic_return=[142.89766]
global_step=30774, episodic_return=[636.2506]
global_step=30944, episodic_return=[261.4296]
global_step=31048, episodic_return=[130.84325]
global_step=31325, episodic_return=[619.99786]
global_step=31537, episodic_return=[432.23764]
global_step=31771, episodic_return=[430.53873]
global_step=32022, episodic_return=[458.9178]
global_step=32216, episodic_return=[430.78812]
global_step=32451, episodic_return=[514.8199]
global_step=32626, episodic_return=[414.91907]
global_step=32799, episodic_return=[343.05844]
global_step=32933, episodic_return=[303.44666]
global_step=33084, episodic_return=[347.88885]
global_step=33247, episodic_return=[331.46542]
global_step=33403, episodic_return=[362.1093]
global_step=33515, episodic_return=[230.25873]
global_step=33713, episodic_return=[504.45462]
global_step=33914, episodic_return=[470.73288]
global_step=34058, episodic_return=[311.9978]
global_step=34205, episodic_return=[362.84164]
global_step=34425, episodic_return=[500.58102]
global_step=34552, episodic_return=[280.63382]
global_step=34707, episodic_return=[345.76694]
global_step=34851, episodic_return=[319.38745]
global_step=34991, episodic_return=[293.6853]
global_step=35151, episodic_return=[397.9715]
global_step=35260, episodic_return=[215.03786]
global_step=35395, episodic_return=[302.03125]
global_step=35524, episodic_return=[274.75186]
global_step=35684, episodic_return=[386.07523]
global_step=35830, episodic_return=[322.0837]
global_step=35958, episodic_return=[285.79813]
global_step=36089, episodic_return=[300.8837]
global_step=36219, episodic_return=[294.8331]
global_step=36369, episodic_return=[281.9393]
global_step=36469, episodic_return=[202.09735]
global_step=36632, episodic_return=[371.1246]
global_step=36902, episodic_return=[611.5334]
global_step=37048, episodic_return=[338.68518]
global_step=37205, episodic_return=[346.8019]
global_step=37363, episodic_return=[356.2412]
global_step=37538, episodic_return=[337.1287]
global_step=37932, episodic_return=[788.199]
global_step=38202, episodic_return=[589.8547]
global_step=38624, episodic_return=[850.4432]
global_step=39059, episodic_return=[717.80347]
global_step=39337, episodic_return=[376.22504]
global_step=40337, episodic_return=[1626.9944]
global_step=41337, episodic_return=[1068.9927]
global_step=42100, episodic_return=[957.96686]
global_step=43100, episodic_return=[1456.4474]
global_step=43645, episodic_return=[1032.7002]
global_step=44645, episodic_return=[1401.6942]
global_step=44969, episodic_return=[567.03735]
global_step=45515, episodic_return=[1006.8129]
global_step=46021, episodic_return=[974.891]
global_step=46422, episodic_return=[759.7749]
global_step=46764, episodic_return=[657.57275]
global_step=47132, episodic_return=[686.63824]
global_step=47444, episodic_return=[702.5552]
global_step=47622, episodic_return=[369.10333]
global_step=47855, episodic_return=[467.98227]
global_step=48170, episodic_return=[670.29846]
global_step=48501, episodic_return=[732.4375]
global_step=48771, episodic_return=[547.1206]
global_step=49019, episodic_return=[563.8273]
global_step=49519, episodic_return=[985.1019]
global_step=49804, episodic_return=[554.83527]
global_step=50014, episodic_return=[466.3819]
global_step=50482, episodic_return=[1035.2661]
global_step=50836, episodic_return=[761.44366]
global_step=51074, episodic_return=[596.76685]
global_step=51349, episodic_return=[567.7077]
global_step=51557, episodic_return=[456.2933]
global_step=51903, episodic_return=[713.8998]
global_step=52043, episodic_return=[336.68585]
global_step=52233, episodic_return=[474.83423]
global_step=52407, episodic_return=[421.57663]
global_step=52590, episodic_return=[463.7306]
global_step=52760, episodic_return=[376.74158]
global_step=52980, episodic_return=[493.18997]
global_step=53980, episodic_return=[1620.927]
global_step=54405, episodic_return=[706.7224]
global_step=55405, episodic_return=[1588.5842]
global_step=56405, episodic_return=[1339.9653]
global_step=56876, episodic_return=[696.058]
global_step=57563, episodic_return=[893.69617]
global_step=58563, episodic_return=[1144.4883]
global_step=58907, episodic_return=[359.40497]
global_step=59907, episodic_return=[1079.3412]
global_step=60907, episodic_return=[1176.3267]
global_step=61907, episodic_return=[1451.336]
global_step=62582, episodic_return=[1108.4025]
global_step=63274, episodic_return=[1269.0953]
global_step=63706, episodic_return=[1056.4055]
global_step=64426, episodic_return=[1277.026]
global_step=64631, episodic_return=[428.4191]
global_step=65237, episodic_return=[924.066]
global_step=65985, episodic_return=[1161.3536]
global_step=66222, episodic_return=[609.35046]
global_step=66513, episodic_return=[719.37476]
global_step=66971, episodic_return=[826.0471]
global_step=67243, episodic_return=[562.2629]
global_step=67703, episodic_return=[918.0511]
global_step=68156, episodic_return=[840.89844]
global_step=68492, episodic_return=[628.72363]
global_step=69108, episodic_return=[1191.9121]
global_step=69255, episodic_return=[320.47156]
global_step=69502, episodic_return=[556.1653]
global_step=69675, episodic_return=[407.264]
global_step=69854, episodic_return=[400.46228]
global_step=70854, episodic_return=[1569.1294]
global_step=71854, episodic_return=[1674.3239]
global_step=72854, episodic_return=[1609.6572]
global_step=73854, episodic_return=[1700.5984]
global_step=74723, episodic_return=[1542.6515]
global_step=75075, episodic_return=[573.94147]
global_step=75342, episodic_return=[474.2587]
global_step=75508, episodic_return=[338.1102]
global_step=76508, episodic_return=[1793.1692]
global_step=76835, episodic_return=[513.194]
global_step=77000, episodic_return=[415.7662]
global_step=77166, episodic_return=[376.1048]
global_step=77603, episodic_return=[683.05664]
global_step=77849, episodic_return=[324.68118]
global_step=78079, episodic_return=[524.40656]
global_step=79015, episodic_return=[1462.3503]
global_step=79503, episodic_return=[755.2848]
global_step=80503, episodic_return=[1642.3302]
global_step=80938, episodic_return=[928.46313]
global_step=81938, episodic_return=[1848.3114]
global_step=82938, episodic_return=[1567.3052]
global_step=83938, episodic_return=[1109.7057]
global_step=84146, episodic_return=[515.4058]
global_step=85146, episodic_return=[1585.4125]
global_step=85388, episodic_return=[607.3163]
global_step=86388, episodic_return=[1789.0337]
global_step=86519, episodic_return=[275.65076]
global_step=87519, episodic_return=[1605.2141]
global_step=88519, episodic_return=[1718.3578]
global_step=89519, episodic_return=[1104.092]
global_step=90519, episodic_return=[1215.138]
global_step=90803, episodic_return=[645.7679]
global_step=91560, episodic_return=[1383.7516]
global_step=92560, episodic_return=[1388.8523]
global_step=93115, episodic_return=[924.4519]
global_step=93672, episodic_return=[839.57983]
global_step=94194, episodic_return=[945.04474]
global_step=94434, episodic_return=[510.80008]
global_step=94905, episodic_return=[1127.6283]
global_step=95838, episodic_return=[2399.2021]
global_step=96059, episodic_return=[544.3927]
global_step=96943, episodic_return=[1952.8616]
global_step=97759, episodic_return=[1355.6573]
global_step=98413, episodic_return=[1152.4832]
global_step=98641, episodic_return=[545.2705]
global_step=99356, episodic_return=[1290.4178]
global_step=100356, episodic_return=[1103.9216]
global_step=101356, episodic_return=[1249.1116]
global_step=102356, episodic_return=[1221.1063]
global_step=103356, episodic_return=[1124.1499]
global_step=104356, episodic_return=[1511.9711]
global_step=105356, episodic_return=[1326.3076]
global_step=106163, episodic_return=[1348.336]
global_step=106802, episodic_return=[1172.6016]
global_step=107802, episodic_return=[1794.2122]
global_step=108655, episodic_return=[1856.9987]
global_step=109110, episodic_return=[1259.6687]
global_step=109266, episodic_return=[322.22107]
global_step=110266, episodic_return=[2076.7053]
global_step=110519, episodic_return=[590.79]
global_step=110858, episodic_return=[964.54767]
global_step=111117, episodic_return=[632.243]
global_step=111565, episodic_return=[1211.3273]
global_step=111919, episodic_return=[963.32184]
global_step=112364, episodic_return=[1258.569]
global_step=113203, episodic_return=[1652.2468]
global_step=113375, episodic_return=[336.80728]
global_step=114375, episodic_return=[1958.1986]
global_step=115096, episodic_return=[1590.11]
global_step=116096, episodic_return=[1920.2013]
global_step=117096, episodic_return=[2071.9072]
global_step=118096, episodic_return=[1849.5577]
global_step=119096, episodic_return=[1668.4855]
global_step=120096, episodic_return=[1802.7972]
global_step=121036, episodic_return=[1569.3087]
global_step=122036, episodic_return=[1615.1793]
global_step=123036, episodic_return=[1622.0552]
global_step=124036, episodic_return=[1717.0367]
global_step=125036, episodic_return=[1773.4908]
global_step=126036, episodic_return=[2068.0857]
global_step=127036, episodic_return=[1965.8094]
global_step=128036, episodic_return=[2051.2158]
global_step=129002, episodic_return=[2211.3306]
global_step=129723, episodic_return=[1881.5205]
global_step=130134, episodic_return=[1074.0193]
global_step=130361, episodic_return=[586.621]
global_step=130802, episodic_return=[1259.3646]
global_step=131229, episodic_return=[1124.4716]
global_step=131459, episodic_return=[643.98676]
global_step=131886, episodic_return=[1178.2745]
global_step=132365, episodic_return=[1333.6215]
global_step=132870, episodic_return=[1425.1007]
global_step=133164, episodic_return=[782.1153]
global_step=133936, episodic_return=[2111.8816]
global_step=134936, episodic_return=[2150.615]
global_step=135840, episodic_return=[2379.881]
global_step=136480, episodic_return=[1825.98]
