True
global_step=999, episodic_return=[-307.48352]
/Tmp/slurm.4487127.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4487127.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4487127.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4487127.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=466999, episodic_return=[8527.258]
global_step=467999, episodic_return=[8553.614]
global_step=468999, episodic_return=[8407.969]
global_step=469999, episodic_return=[8344.811]
global_step=470999, episodic_return=[8399.157]
global_step=471999, episodic_return=[8410.118]
global_step=472999, episodic_return=[8461.691]
global_step=473999, episodic_return=[8467.253]
global_step=474999, episodic_return=[8360.276]
global_step=475999, episodic_return=[8375.769]
global_step=476999, episodic_return=[8430.198]
global_step=477999, episodic_return=[8409.013]
global_step=478999, episodic_return=[8507.323]
global_step=479999, episodic_return=[8488.489]
global_step=480999, episodic_return=[8416.617]
global_step=481999, episodic_return=[8583.351]
global_step=482999, episodic_return=[8241.961]
global_step=483999, episodic_return=[8409.102]
global_step=484999, episodic_return=[8450.444]
global_step=485999, episodic_return=[8198.101]
global_step=486999, episodic_return=[8388.281]
global_step=487999, episodic_return=[8334.837]
global_step=488999, episodic_return=[8452.296]
global_step=489999, episodic_return=[8482.788]
global_step=490999, episodic_return=[8480.303]
global_step=491999, episodic_return=[8434.882]
global_step=492999, episodic_return=[8511.296]
global_step=493999, episodic_return=[8421.798]
global_step=494999, episodic_return=[8397.167]
global_step=495999, episodic_return=[8557.483]
global_step=496999, episodic_return=[8618.434]
global_step=497999, episodic_return=[8545.97]
global_step=498999, episodic_return=[8653.521]
global_step=499999, episodic_return=[8635.744]
global_step=500999, episodic_return=[8415.671]
global_step=501999, episodic_return=[8434.882]
global_step=502999, episodic_return=[8524.736]
global_step=503999, episodic_return=[8471.047]
global_step=504999, episodic_return=[8458.11]
global_step=505999, episodic_return=[8499.525]
global_step=506999, episodic_return=[8481.092]
global_step=507999, episodic_return=[8505.013]
global_step=508999, episodic_return=[8533.207]
global_step=509999, episodic_return=[8519.461]
global_step=510999, episodic_return=[8294.613]
global_step=511999, episodic_return=[8635.611]
global_step=512999, episodic_return=[8830.228]
global_step=513999, episodic_return=[8638.976]
global_step=514999, episodic_return=[8601.392]
global_step=515999, episodic_return=[8780.3125]
global_step=516999, episodic_return=[8613.227]
global_step=517999, episodic_return=[8735.]
global_step=518999, episodic_return=[8429.479]
global_step=519999, episodic_return=[8528.264]
global_step=520999, episodic_return=[8564.406]
global_step=521999, episodic_return=[8641.125]
global_step=522999, episodic_return=[8736.355]
global_step=523999, episodic_return=[8716.963]
global_step=524999, episodic_return=[8777.51]
global_step=525999, episodic_return=[8523.395]
global_step=526999, episodic_return=[8592.52]
global_step=527999, episodic_return=[8607.2295]
global_step=528999, episodic_return=[8550.264]
global_step=529999, episodic_return=[8385.238]
global_step=530999, episodic_return=[8700.3125]
global_step=531999, episodic_return=[8880.954]
global_step=532999, episodic_return=[8768.395]
global_step=533999, episodic_return=[8819.537]
global_step=534999, episodic_return=[8608.453]
global_step=535999, episodic_return=[8748.686]
global_step=536999, episodic_return=[8779.871]
global_step=537999, episodic_return=[8686.201]
global_step=538999, episodic_return=[8835.891]
global_step=539999, episodic_return=[8543.9375]
global_step=540999, episodic_return=[8755.024]
global_step=541999, episodic_return=[8472.255]
global_step=542999, episodic_return=[8407.5205]
global_step=543999, episodic_return=[8919.923]
global_step=544999, episodic_return=[8622.698]
global_step=545999, episodic_return=[8683.007]
global_step=546999, episodic_return=[8780.002]
global_step=547999, episodic_return=[8743.332]
global_step=548999, episodic_return=[8662.206]
global_step=549999, episodic_return=[8777.897]
global_step=550999, episodic_return=[8799.693]
global_step=551999, episodic_return=[8641.11]
global_step=552999, episodic_return=[8878.0205]
global_step=553999, episodic_return=[8801.203]
global_step=554999, episodic_return=[8585.067]
global_step=555999, episodic_return=[8835.775]
global_step=556999, episodic_return=[8675.216]
global_step=557999, episodic_return=[8513.8]
global_step=558999, episodic_return=[8729.089]
global_step=559999, episodic_return=[8911.02]
global_step=560999, episodic_return=[8947.074]
global_step=561999, episodic_return=[9089.192]
global_step=562999, episodic_return=[8770.222]
global_step=563999, episodic_return=[8646.57]
global_step=564999, episodic_return=[8765.412]
global_step=565999, episodic_return=[8757.09]
global_step=566999, episodic_return=[8782.195]
global_step=567999, episodic_return=[8714.703]
global_step=568999, episodic_return=[8808.31]
global_step=569999, episodic_return=[8763.703]
global_step=570999, episodic_return=[8837.871]
global_step=571999, episodic_return=[8873.152]
global_step=572999, episodic_return=[8919.695]
global_step=573999, episodic_return=[8731.606]
global_step=574999, episodic_return=[8702.588]
global_step=575999, episodic_return=[8766.04]
global_step=576999, episodic_return=[8775.064]
global_step=577999, episodic_return=[8750.154]
global_step=578999, episodic_return=[8947.]
global_step=579999, episodic_return=[8516.315]
global_step=580999, episodic_return=[8931.904]
global_step=581999, episodic_return=[8486.254]
global_step=582999, episodic_return=[8598.789]
global_step=583999, episodic_return=[8658.923]
global_step=584999, episodic_return=[8893.639]
global_step=585999, episodic_return=[8525.394]
global_step=586999, episodic_return=[8872.682]
global_step=587999, episodic_return=[8729.44]
global_step=588999, episodic_return=[8821.348]
global_step=589999, episodic_return=[8501.616]
global_step=590999, episodic_return=[8867.301]
global_step=591999, episodic_return=[8819.156]
global_step=592999, episodic_return=[8664.779]
global_step=593999, episodic_return=[8821.94]
global_step=594999, episodic_return=[8811.34]
global_step=595999, episodic_return=[8851.871]
global_step=596999, episodic_return=[8983.831]
global_step=597999, episodic_return=[8842.551]
global_step=598999, episodic_return=[8831.15]
global_step=599999, episodic_return=[8732.844]
global_step=600999, episodic_return=[8802.951]
global_step=601999, episodic_return=[8736.813]
global_step=602999, episodic_return=[9068.668]
global_step=603999, episodic_return=[9041.571]
global_step=604999, episodic_return=[8526.161]
global_step=605999, episodic_return=[8646.374]
global_step=606999, episodic_return=[8804.401]
global_step=607999, episodic_return=[8778.134]
global_step=608999, episodic_return=[8891.604]
global_step=609999, episodic_return=[8822.065]
global_step=610999, episodic_return=[8849.884]
global_step=611999, episodic_return=[8939.567]
global_step=612999, episodic_return=[9029.004]
global_step=613999, episodic_return=[8832.819]
global_step=614999, episodic_return=[8940.42]
global_step=615999, episodic_return=[8888.14]
global_step=616999, episodic_return=[8749.69]
