True
global_step=126, episodic_return=[-42.324677]
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=142955, episodic_return=[968.1502]
global_step=143955, episodic_return=[999.33923]
global_step=144955, episodic_return=[941.95337]
global_step=145955, episodic_return=[970.6201]
global_step=146955, episodic_return=[982.4553]
global_step=147955, episodic_return=[951.4474]
global_step=148955, episodic_return=[659.42126]
global_step=149079, episodic_return=[121.00242]
global_step=150079, episodic_return=[912.97833]
global_step=151079, episodic_return=[951.6869]
global_step=151919, episodic_return=[829.99023]
global_step=152016, episodic_return=[101.83332]
global_step=153016, episodic_return=[790.1668]
global_step=154016, episodic_return=[890.6938]
global_step=155016, episodic_return=[685.08057]
global_step=156016, episodic_return=[912.1003]
global_step=157016, episodic_return=[818.81366]
global_step=158016, episodic_return=[956.12976]
global_step=159016, episodic_return=[963.1166]
global_step=160016, episodic_return=[970.5491]
global_step=161016, episodic_return=[888.5507]
global_step=162016, episodic_return=[962.0266]
global_step=162405, episodic_return=[342.66217]
global_step=163405, episodic_return=[898.42786]
global_step=164405, episodic_return=[962.7097]
global_step=165405, episodic_return=[1003.85394]
global_step=166405, episodic_return=[993.6807]
global_step=167405, episodic_return=[1023.0045]
global_step=168405, episodic_return=[949.8044]
global_step=169405, episodic_return=[1021.96326]
global_step=170405, episodic_return=[882.2171]
global_step=171405, episodic_return=[900.25305]
global_step=172405, episodic_return=[904.173]
global_step=172650, episodic_return=[281.15076]
global_step=173650, episodic_return=[1002.96326]
global_step=174029, episodic_return=[381.1982]
global_step=174156, episodic_return=[132.92554]
global_step=175156, episodic_return=[968.5519]
global_step=176156, episodic_return=[884.28613]
global_step=177156, episodic_return=[1007.76245]
global_step=177392, episodic_return=[249.79675]
global_step=178392, episodic_return=[969.3064]
global_step=179392, episodic_return=[1135.011]
global_step=180392, episodic_return=[1107.7214]
global_step=181392, episodic_return=[1074.1869]
global_step=182392, episodic_return=[1068.7334]
global_step=183392, episodic_return=[871.5139]
global_step=183811, episodic_return=[457.0799]
global_step=184624, episodic_return=[857.84235]
global_step=185536, episodic_return=[846.71906]
global_step=186536, episodic_return=[1141.8408]
global_step=186784, episodic_return=[229.56316]
global_step=187784, episodic_return=[1134.7089]
global_step=188784, episodic_return=[1146.4113]
global_step=189784, episodic_return=[824.87683]
global_step=190784, episodic_return=[949.39075]
global_step=191010, episodic_return=[271.78537]
global_step=192010, episodic_return=[629.0574]
global_step=193010, episodic_return=[1194.5662]
global_step=194010, episodic_return=[1025.2842]
global_step=194155, episodic_return=[192.94551]
global_step=195155, episodic_return=[1142.5813]
global_step=196155, episodic_return=[1410.906]
global_step=197155, episodic_return=[937.34204]
global_step=198155, episodic_return=[931.53284]
global_step=198783, episodic_return=[963.2175]
global_step=199783, episodic_return=[1389.903]
global_step=200783, episodic_return=[992.7845]
global_step=201473, episodic_return=[989.17926]
global_step=202473, episodic_return=[1330.314]
global_step=202739, episodic_return=[385.9861]
global_step=203739, episodic_return=[1198.7733]
global_step=204739, episodic_return=[832.3715]
