True
global_step=999, episodic_return=[31336.598]
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=272999, episodic_return=[153349.5]
global_step=273999, episodic_return=[153791.17]
global_step=274999, episodic_return=[154800.05]
global_step=275999, episodic_return=[154307.72]
global_step=276999, episodic_return=[154152.95]
global_step=277999, episodic_return=[153500.53]
global_step=278999, episodic_return=[153119.39]
global_step=279999, episodic_return=[148951.86]
global_step=280999, episodic_return=[151503.6]
global_step=281999, episodic_return=[154130.77]
global_step=282999, episodic_return=[154076.27]
global_step=283999, episodic_return=[154049.02]
global_step=284999, episodic_return=[152687.]
global_step=285999, episodic_return=[94046.74]
global_step=286999, episodic_return=[147169.55]
global_step=287999, episodic_return=[153776.73]
global_step=288999, episodic_return=[151754.52]
global_step=289999, episodic_return=[150567.39]
global_step=290999, episodic_return=[152395.03]
global_step=291999, episodic_return=[145573.48]
global_step=292999, episodic_return=[153781.28]
global_step=293999, episodic_return=[153487.92]
global_step=294999, episodic_return=[154008.64]
global_step=295999, episodic_return=[152976.81]
global_step=296999, episodic_return=[150845.33]
global_step=297999, episodic_return=[147396.97]
global_step=298999, episodic_return=[149525.7]
global_step=299999, episodic_return=[151010.73]
global_step=300999, episodic_return=[151905.62]
global_step=301999, episodic_return=[153146.66]
global_step=302999, episodic_return=[153357.86]
global_step=303999, episodic_return=[155162.38]
global_step=304999, episodic_return=[155011.]
global_step=305999, episodic_return=[153753.56]
global_step=306999, episodic_return=[153936.75]
global_step=307999, episodic_return=[154388.33]
global_step=308999, episodic_return=[153478.4]
global_step=309999, episodic_return=[153709.08]
global_step=310999, episodic_return=[154087.48]
global_step=311999, episodic_return=[154880.06]
global_step=312999, episodic_return=[154484.38]
global_step=313999, episodic_return=[154898.3]
global_step=314999, episodic_return=[153179.03]
global_step=315999, episodic_return=[154630.39]
global_step=316999, episodic_return=[154725.95]
global_step=317999, episodic_return=[144511.42]
global_step=318999, episodic_return=[153617.22]
global_step=319999, episodic_return=[153772.42]
global_step=320999, episodic_return=[155167.14]
global_step=321999, episodic_return=[153471.47]
global_step=322999, episodic_return=[147571.88]
global_step=323999, episodic_return=[149573.25]
global_step=324999, episodic_return=[150979.05]
global_step=325999, episodic_return=[153478.02]
global_step=326999, episodic_return=[152751.92]
global_step=327999, episodic_return=[152849.]
global_step=328999, episodic_return=[152110.14]
global_step=329999, episodic_return=[150377.7]
global_step=330999, episodic_return=[154139.1]
global_step=331999, episodic_return=[152642.67]
global_step=332999, episodic_return=[152733.61]
global_step=333999, episodic_return=[153579.53]
global_step=334999, episodic_return=[151074.47]
global_step=335999, episodic_return=[154403.8]
global_step=336999, episodic_return=[154670.12]
global_step=337999, episodic_return=[152624.25]
global_step=338999, episodic_return=[153593.23]
global_step=339999, episodic_return=[154832.95]
global_step=340999, episodic_return=[154483.14]
global_step=341999, episodic_return=[154586.27]
global_step=342999, episodic_return=[153484.22]
global_step=343999, episodic_return=[155301.88]
global_step=344999, episodic_return=[153479.12]
global_step=345999, episodic_return=[153004.92]
global_step=346999, episodic_return=[152109.7]
global_step=347999, episodic_return=[154720.6]
global_step=348999, episodic_return=[154827.94]
global_step=349999, episodic_return=[152878.16]
global_step=350999, episodic_return=[155105.34]
global_step=351999, episodic_return=[155109.42]
global_step=352999, episodic_return=[154569.6]
global_step=353999, episodic_return=[155002.06]
global_step=354999, episodic_return=[154070.7]
global_step=355999, episodic_return=[155311.58]
global_step=356999, episodic_return=[154770.34]
global_step=357999, episodic_return=[154452.3]
global_step=358999, episodic_return=[153850.53]
global_step=359999, episodic_return=[155080.61]
global_step=360999, episodic_return=[149264.36]
global_step=361999, episodic_return=[153337.03]
