True
global_step=6014, episodic_return=[0.02968028]
global_step=6036, episodic_return=[-10.494463]
global_step=6078, episodic_return=[-3.4350297]
global_step=6102, episodic_return=[-6.5378633]
global_step=6130, episodic_return=[-8.992746]
global_step=6159, episodic_return=[-7.255142]
global_step=6182, episodic_return=[-5.412364]
global_step=6224, episodic_return=[10.989702]
global_step=6258, episodic_return=[1.3864517]
global_step=6288, episodic_return=[3.3393703]
global_step=6333, episodic_return=[4.3366284]
global_step=6377, episodic_return=[0.59934366]
global_step=6429, episodic_return=[9.793656]
global_step=6477, episodic_return=[9.452391]
global_step=6530, episodic_return=[34.801037]
global_step=6589, episodic_return=[14.158999]
global_step=6663, episodic_return=[5.8088727]
global_step=6780, episodic_return=[63.06182]
global_step=6870, episodic_return=[1.5499709]
global_step=7094, episodic_return=[42.319416]
global_step=7364, episodic_return=[387.3834]
global_step=7652, episodic_return=[168.08832]
global_step=7787, episodic_return=[50.158882]
global_step=7944, episodic_return=[240.5351]
global_step=8200, episodic_return=[344.74854]
global_step=8276, episodic_return=[-3.9376976]
global_step=8364, episodic_return=[-18.794184]
global_step=8739, episodic_return=[381.87714]
global_step=8829, episodic_return=[-16.905504]
global_step=9145, episodic_return=[405.99673]
global_step=9252, episodic_return=[133.97198]
global_step=9392, episodic_return=[60.29489]
global_step=9536, episodic_return=[-79.977394]
global_step=9654, episodic_return=[0.11558712]
global_step=9731, episodic_return=[36.543705]
global_step=9872, episodic_return=[160.47142]
global_step=9952, episodic_return=[37.777363]
global_step=10159, episodic_return=[7.8065033]
global_step=10231, episodic_return=[5.037774]
global_step=10429, episodic_return=[-67.25028]
global_step=10558, episodic_return=[-27.159138]
global_step=10673, episodic_return=[-55.915775]
global_step=10804, episodic_return=[-29.676144]
global_step=11057, episodic_return=[73.457436]
global_step=11111, episodic_return=[-10.471131]
global_step=11258, episodic_return=[154.2638]
global_step=11328, episodic_return=[-10.693818]
global_step=11386, episodic_return=[-7.041991]
global_step=11522, episodic_return=[-21.671951]
global_step=11629, episodic_return=[-60.454422]
global_step=11809, episodic_return=[35.776264]
global_step=11910, episodic_return=[-59.14713]
global_step=12043, episodic_return=[-39.86448]
global_step=12148, episodic_return=[-55.633232]
global_step=12214, episodic_return=[-6.2096205]
global_step=12306, episodic_return=[-51.541866]
global_step=12371, episodic_return=[-5.1575804]
global_step=12433, episodic_return=[-6.1758943]
global_step=12490, episodic_return=[-12.383433]
