/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=3664, episodic_return=[-1.2444856]
global_step=3674, episodic_return=[-0.8971753]
global_step=3689, episodic_return=[3.8344493]
global_step=3707, episodic_return=[1.2651558]
global_step=3727, episodic_return=[5.16412]
global_step=3748, episodic_return=[6.295162]
global_step=3768, episodic_return=[6.460983]
global_step=3781, episodic_return=[1.6288962]
global_step=3816, episodic_return=[7.805819]
global_step=3834, episodic_return=[-6.1234193]
global_step=3850, episodic_return=[1.2992959]
global_step=3871, episodic_return=[-5.980509]
global_step=3892, episodic_return=[4.0572634]
global_step=3926, episodic_return=[3.1372614]
global_step=3934, episodic_return=[-1.499478]
global_step=3948, episodic_return=[2.614987]
global_step=3965, episodic_return=[-1.1973572]
global_step=3978, episodic_return=[-4.0389905]
global_step=4026, episodic_return=[6.646749]
global_step=4043, episodic_return=[1.4424567]
global_step=4060, episodic_return=[3.1305442]
global_step=4093, episodic_return=[3.1850314]
global_step=4106, episodic_return=[-4.721636]
global_step=4117, episodic_return=[2.0508475]
global_step=4129, episodic_return=[-1.2238109]
global_step=4145, episodic_return=[2.5937774]
global_step=4163, episodic_return=[2.0858467]
global_step=4178, episodic_return=[2.8531704]
global_step=4203, episodic_return=[2.5157397]
global_step=4240, episodic_return=[23.133663]
global_step=4264, episodic_return=[-8.4115715]
global_step=4287, episodic_return=[6.324644]
global_step=4330, episodic_return=[1.1868752]
